Active Cases,Continant,Country,Deaths/ 1M pop,New Cases,New deaths,Srious/Critical Cases,Tests/ 1M pop,Tot Cases/1M pop,Total Cases,Total Recovered,Total Tests,Total deaths
555,North America,Costa Rica,0.8,,,11,1784,123,626,67,9089,4 
480,Africa,Niger,0.6,,,,183,24,584,90,4427,14 
284,Africa,Burkina Faso,2,,,,,26,542,226,,32 
215,Europe,Albania,9,24,1,5,1677,180,518,277,4827,26 
212,South America,Uruguay,3,,,13,3008,142,493,272,10448,9 
370,Asia,Kyrgyzstan,0.8,17,,5,4008,71,466,91,26147,5 
363,Europe,Channel Islands,86,,,,19095,2571,447,69,3320,15 
398,South America,Bolivia,2,44,1,3,187,38,441,14,2185,29 
362,Africa,Djibouti,2,,,,6008,440,435,71,5936,2 
382,North America,Honduras,4,7,4,10,203,43,426,9,2012,35 
327,Europe,Malta,7,13,,4,47932,933,412,82,21164,3 
267,Africa,Nigeria,0.06,,,2,24,2,407,128,5000,12 
372,Africa,Guinea,0.08,,,,,31,404,31,,1 
144,Asia,Jordan,0.7,,,5,2009,39,401,250,20500,7 
234,Asia,Taiwan,0.3,,,,2129,17,395,155,50703,6 
304,Europe,San Marino,1061,,,15,24933,11582,393,53,846,36 
154,Africa,Réunion,,,,3,,437,391,237,, 
309,Asia,Palestine,0.4,,,,3397,73,374,63,17329,2 
259,Asia,Georgia,0.8,30,,6,1260,84,336,74,5027,3 
250,Africa,Mauritius,7,,,3,6510,255,324,65,8279,9 
122,Africa,Senegal,0.1,,,1,,19,314,190,,2 
231,Europe,Montenegro,6,2,,7,6168,462,290,55,3874,4 
126,Europe,Isle of Man,47,27,,13,26590,3328,283,153,2261,4 
92,Asia,Vietnam,,,,8,1397,3,268,176,135938, 
222,Africa,DRC,0.2,13,1,,,3,267,23,,22 
163,Asia,Sri Lanka,0.3,,,1,223,11,238,68,4768,7 
162,Africa,Kenya,0.2,,,2,179,4,225,53,9630,10 
145,Africa,Mayotte,11,,,3,5498,795,217,69,1500,3 
77,South America,Venezuela,0.3,,,6,7913,7,197,111,225009,9 
172,North America,Guatemala,0.3,16,,3,402,11,196,19,7200,5 
15,Europe,Faeroe Islands,,,,,117983,3766,184,169,5765, 
136,South America,Paraguay,1,13,,1,545,24,174,30,3888,8 
125,North America,El Salvador,0.9,5,,2,1285,25,164,33,8333,6 
77,North America,Martinique,21,,,17,,421,158,73,,8 
101,Africa,Mali,0.6,,,,,7,148,34,,13 
70,North America,Guadeloupe,20,,,13,,362,145,67,,8 
27,Asia,Brunei ,2,,,2,24746,311,136,108,10826,1 
82,Africa,Rwanda,,,,,482,11,136,54,6237, 
27,Europe,Gibraltar,,,,1,48945,3888,131,104,1649, 
99,North America,Jamaica,2,,,,470,42,125,21,1391,5 
24,Asia,Cambodia,,,,1,345,7,122,98,5768, 
